,Town,Unnamed: 0,Municipality,Number of Taxpayers,Total Retail Sales of Goods,Total Tax Due(Excluding Tax at 9.35% Rate) ,Tax Due At 6%,Tax Due At 6.35%,Tax Due at 7%
0,Andover,0,ANDOVER (001),139,6435052.0,502250.0,226620.0,275623.0,7.0
1,Ansonia,1,ANSONIA (002),440,82252912.0,3434137.0,1616908.0,1811516.0,5712.0
2,Ashford,2,ASHFORD (003),186,12825806.0,712079.0,302853.0,409071.0,155.0
3,Avon,3,AVON (004),797,190254403.0,7972169.0,3738357.0,4182282.0,51530.0
4,Barkhamsted,4,BARKHAMSTED (005),199,25611177.0,661448.0,288886.0,372559.0,3.0
5,Beacon,5,BEACON FALLS (006),207,37004739.0,996706.0,455361.0,541337.0,7.0
6,Berlin,6,BERLIN (007),981,1063047358.0,62482700.0,30735233.0,31744409.0,3059.0
7,Bethany,7,BETHANY (008),259,28478567.0,959102.0,485975.0,473022.0,105.0
8,Bethel,8,BETHEL (009),858,229410031.0,7712726.0,3654087.0,4040299.0,18340.0
9,Bethlehem,9,BETHLEHEM (010),264,21657031.0,932307.0,435820.0,496487.0,0.0
10,Bloomfield,10,BLOOMFIELD (011),798,435201040.0,9178361.0,4557028.0,4616117.0,5216.0
11,Bolton,11,BOLTON (012),226,94434312.0,2059685.0,971803.0,1085630.0,2253.0
12,Bozrah,12,BOZRAH (013),125,82373712.0,1344401.0,611679.0,732712.0,10.0
13,Branford,13,BRANFORD (014),1416,1283645968.0,43996271.0,16437415.0,27501513.0,57342.0
14,Bridgeport,14,BRIDGEPORT (015),2798,2650426622.0,47349583.0,23907126.0,23174993.0,267464.0
15,Bridgewater,15,BRIDGEWATER (016),110,8516866.0,290477.0,142838.0,147639.0,0.0
16,Bristol,16,BRISTOL (017),1752,658879563.0,22297115.0,10847106.0,11389243.0,60766.0
17,Brookfield,17,BROOKFIELD (018),828,497169201.0,13477095.0,6369519.0,7106986.0,589.0
18,Brooklyn,18,BROOKLYN (019),254,65705464.0,2684169.0,1320530.0,1355304.0,8335.0
19,Burlington,19,BURLINGTON (020),351,21589984.0,957441.0,496693.0,460450.0,298.0
20,Canaan,20,CANAAN (021),233,109974402.0,3095209.0,1427038.0,1668171.0,0.0
21,Canterbury,21,CANTERBURY (022),199,15473732.0,514514.0,235451.0,278783.0,280.0
22,Canton,22,CANTON (023),653,238192825.0,11385553.0,5236694.0,5952784.0,196075.0
23,Chaplin,23,CHAPLIN (024),114,9676211.0,467787.0,244509.0,218664.0,4614.0
24,Cheshire,24,CHESHIRE (025),1108,1736859695.0,14042652.0,6774104.0,7208284.0,60264.0
25,Chester,25,CHESTER (026),235,54632443.0,1084848.0,488181.0,596483.0,184.0
26,Clinton,26,CLINTON (027),634,216029767.0,9362852.0,3894439.0,5445447.0,22966.0
27,Colchester,27,COLCHESTER (028),598,226365816.0,6049533.0,2841290.0,3197167.0,11077.0
28,Colebrook,28,COLEBROOK (029),45,616965.0,35085.0,18775.0,16311.0,0.0
29,Columbia,29,COLUMBIA (030),245,84527730.0,3415368.0,1640797.0,1703022.0,71548.0
30,Cornwall,30,CORNWALL (031),155,12417598.0,586142.0,292809.0,293333.0,0.0
31,Coventry,31,COVENTRY (032),450,45620688.0,1768596.0,854714.0,913882.0,0.0
32,Cromwell,32,CROMWELL (033),545,316155202.0,5679035.0,2778168.0,2900841.0,26.0
33,Danbury,33,DANBURY (034),2851,6867904744.0,117737703.0,52916198.0,63699341.0,1122164.0
34,Darien,34,DARIEN (035),826,933974549.0,26049071.0,12070119.0,13117025.0,861926.0
35,Deep,35,DEEP RIVER (036),239,44448983.0,1438544.0,719789.0,716461.0,2294.0
36,Derby,36,DERBY (037),357,135562965.0,4611489.0,2057078.0,2553781.0,631.0
37,Durham,37,DURHAM (038),361,113716538.0,2460907.0,1202275.0,1258594.0,38.0
38,East,38,EAST GRANBY (040),267,253727731.0,2873758.0,1142760.0,1730900.0,98.0
39,East,39,EAST HADDAM (041),388,52853470.0,2083868.0,952454.0,1131049.0,365.0
40,East,40,EAST HAMPTON (042),497,48801121.0,2530671.0,1193661.0,1336899.0,112.0
41,East,41,EAST HARTFORD (043),1285,9418040278.0,41966585.0,20855397.0,20318790.0,792398.0
42,East,42,EAST HAVEN (044),692,327382213.0,15718146.0,6818108.0,8713717.0,186321.0
43,East,43,EAST LYME (045),629,161264868.0,5271036.0,2505494.0,2765542.0,0.0
44,East,44,EAST WINDSOR (047),544,472343841.0,13311307.0,6863927.0,6447135.0,245.0
45,Eastford,45,EASTFORD (039),80,14897514.0,398318.0,167007.0,231017.0,294.0
46,Easton,46,EASTON (046),314,104637501.0,1638324.0,805004.0,833302.0,18.0
47,Ellington,47,ELLINGTON (048),521,171271202.0,5146081.0,2567358.0,2570315.0,8408.0
48,Enfield,48,ENFIELD (049),1106,824733851.0,27145882.0,12672712.0,14401165.0,72005.0
49,Essex,49,ESSEX (050),509,250903052.0,3842165.0,1831540.0,1929759.0,80866.0
50,Fairfield,50,FAIRFIELD (051),2375,1298697851.0,58971611.0,27000182.0,30548035.0,1423394.0
51,Farmington,51,FARMINGTON (052),1283,1845238760.0,40096607.0,16632484.0,23095550.0,368572.0
52,Franklin,52,FRANKLIN (053),139,106062002.0,2727746.0,1379508.0,1348228.0,11.0
53,Glastonbury,53,GLASTONBURY (054),1500,554478884.0,19369038.0,9336118.0,9860414.0,172506.0
54,Goshen,54,GOSHEN (055),187,20308727.0,686003.0,304050.0,380593.0,1361.0
55,Granby,55,GRANBY (056),521,78712962.0,2758654.0,1257186.0,1501336.0,132.0
56,Greenwich,56,GREENWICH (057),2518,1844940928.0,59766979.0,27194102.0,29226076.0,3346800.0
57,Griswold,57,GRISWOLD (058),348,66255684.0,1930251.0,870176.0,1059346.0,730.0
58,Groton,58,GROTON (059),719,2789363817.0,16897700.0,7812475.0,9077008.0,8217.0
59,Guilford,59,GUILFORD (060),1099,457095031.0,7305855.0,3401264.0,3789501.0,115090.0
60,Haddam,60,HADDAM (061),385,93321238.0,2075837.0,955210.0,1120387.0,240.0
61,Hamden,61,HAMDEN (062),1793,688667594.0,22712328.0,10353499.0,11805533.0,553296.0
62,Hampton,62,HAMPTON (063),93,3855041.0,99969.0,47596.0,52373.0,0.0
63,Hartford,63,HARTFORD (064),2711,2030133449.0,108308002.0,49614350.0,57787737.0,905916.0
64,Hartland,64,HARTLAND (065),85,2136536.0,161780.0,69945.0,91835.0,0.0
65,Harwinton,65,HARWINTON (066),292,24402135.0,1173570.0,497333.0,676223.0,14.0
66,Hebron,66,HEBRON (067),352,44736925.0,1393089.0,627307.0,764575.0,1207.0
67,Kent,67,KENT (068),255,36561820.0,1544389.0,666215.0,877719.0,455.0
68,Killingly,68,KILLINGLY (069),497,2608822419.0,4668300.0,2210466.0,2456749.0,1086.0
69,Killingworth,69,KILLINGWORTH (070),317,28817137.0,1358681.0,596802.0,760395.0,1485.0
70,Lebanon,70,LEBANON (071),325,22451352.0,651637.0,314873.0,336666.0,98.0
71,Ledyard,71,LEDYARD (072),379,107365680.0,5436399.0,2588368.0,2848031.0,0.0
72,Lisbon,72,LISBON (073),141,25005954.0,959084.0,432640.0,521423.0,5020.0
73,Litchfield,73,LITCHFIELD (074),608,133017930.0,4794910.0,2133246.0,2615867.0,45797.0
74,Lyme,74,LYME (075),110,4766050.0,89219.0,38945.0,50229.0,45.0
75,Madison,75,MADISON (076),841,153535038.0,7558812.0,3406281.0,4138143.0,14389.0
